,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,1238015000.0,1071801000.0,798534000.0,828010000.0,1294342000.0,
Repurchase Of Capital Stock,-4479000.0,-1000.0,,,-27782000.0,0.0
Repayment Of Debt,-8393289000.0,-1837059000.0,-1685804000.0,-3942702000.0,-6481802000.0,
Issuance Of Debt,5185248000.0,9268723000.0,2375457000.0,2485162000.0,9292011000.0,
Issuance Of Capital Stock,56421000.0,16653000.0,25164000.0,127704000.0,123214000.0,
Capital Expenditure,-2481000.0,,-84320000.0,-8695000.0,-20440000.0,
End Cash Position,2659827000.0,4861502000.0,2114164000.0,1560654000.0,3306364000.0,
Beginning Cash Position,4861502000.0,2114164000.0,1560654000.0,3306364000.0,2232842000.0,
Changes In Cash,-2201675000.0,2747338000.0,553510000.0,-1745710000.0,1073522000.0,
Financing Cash Flow,-7709480000.0,7433201000.0,-131248000.0,-1347807000.0,2452128000.0,
Net Other Financing Charges,-127133000.0,-13341000.0,23701000.0,90452000.0,40207000.0,
Cash Dividends Paid,-4422208000.0,6181000.0,-854337000.0,-102482000.0,-488080000.0,
Net Common Stock Issuance,51942000.0,16652000.0,13593000.0,127704000.0,95432000.0,
Common Stock Payments,-4479000.0,-1000.0,,,-27782000.0,0.0
Common Stock Issuance,56421000.0,16653000.0,25164000.0,127704000.0,123214000.0,
Net Issuance Payments Of Debt,-3208041000.0,7431664000.0,689653000.0,-1457540000.0,2810209000.0,
Net Long Term Debt Issuance,-3208041000.0,7431664000.0,689653000.0,-1457540000.0,2810209000.0,
Long Term Debt Payments,-8393289000.0,-1837059000.0,-1685804000.0,-3942702000.0,-6481802000.0,
Long Term Debt Issuance,5185248000.0,9268723000.0,2375457000.0,2485162000.0,9292011000.0,
Investing Cash Flow,4267309000.0,-5699675000.0,-198096000.0,-1234608000.0,-2693388000.0,
Net Other Investing Changes,-1345549000.0,-2445903000.0,-2266282000.0,-2000141000.0,-1554465000.0,
Net Investment Purchase And Sale,6650050000.0,-3311761000.0,2152506000.0,774228000.0,-1109005000.0,
Sale Of Investment,6265023000.0,-2926734000.0,2152506000.0,774228000.0,710000000.0,
Purchase Of Investment,,-385027000.0,0.0,0.0,-1819005000.0,1391399000.0
Net Business Purchase And Sale,-1034711000.0,,,0.0,-9478000.0,-6870242000.0
Sale Of Business,0.0,,,0.0,-16079000.0,0.0
Purchase Of Business,-1034711000.0,,,,6601000.0,-6870242000.0
Net Intangibles Purchase And Sale,-2481000.0,57989000.0,-84320000.0,-8695000.0,-20440000.0,
Purchase Of Intangibles,-2481000.0,57989000.0,-84320000.0,-8695000.0,-20440000.0,
Operating Cash Flow,1240496000.0,1013812000.0,882854000.0,836705000.0,1314782000.0,
Taxes Refund Paid,-210770000.0,-186813000.0,-131856000.0,-33019000.0,204498000.0,
Interest Paid Cfo,-1468214000.0,-1298045000.0,-1229428000.0,-1056709000.0,-1231548000.0,
Dividend Received Cfo,0.0,0.0,341272000.0,0.0,,0.0
Change In Working Capital,-1186714000.0,996131000.0,160265000.0,-680410000.0,-632870000.0,
Change In Other Current Assets,-739569000.0,1016133000.0,-77753000.0,-88235000.0,-1334563000.0,
Change In Accrued Expense,-242173000.0,-109995000.0,-144916000.0,-133492000.0,-137069000.0,
Change In Payable,-281535000.0,1169439000.0,809351000.0,-227444000.0,103400000.0,
Change In Inventory,-56088000.0,-10414000.0,-40368000.0,-42869000.0,6534000.0,
Change In Receivables,-681727000.0,-945524000.0,-148456000.0,-88136000.0,138830000.0,
Other Non Cash Items,677208000.0,180084000.0,-98678000.0,807741000.0,2568063000.0,
Provisionand Write Offof Assets,531367000.0,365942000.0,-412235000.0,291777000.0,105275000.0,
Deferred Tax,-274412000.0,210948000.0,284838000.0,210455000.0,-642520000.0,
Depreciation And Amortization,771034000.0,715817000.0,889815000.0,761986000.0,760570000.0,
Amortization Cash Flow,771034000.0,715817000.0,889815000.0,761986000.0,760570000.0,
Pension And Employee Benefit Expense,-5040000.0,,,-755000.0,114274000.0,21906000.0
Gain Loss On Investment Securities,-2965923000.0,109907000.0,-156825000.0,-373388000.0,-696745000.0,
Net Income From Continuing Operations,-101790000.0,609805000.0,1289635000.0,706281000.0,1502804000.0,
