,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,74044563.3,18999184.537534,17417873.035153,20178660.0,92856526.0,
Tax Rate For Calcs,0.2817,0.367404,0.328528,0.34,0.2996,
Normalized EBITDA,502108000.0,18679000.0,517298000.0,156900000.0,456790000.0,
Total Unusual Items,262849000.0,51712000.0,53018000.0,59349000.0,309935000.0,
Total Unusual Items Excluding Goodwill,262849000.0,51712000.0,53018000.0,59349000.0,309935000.0,
Net Income From Continuing Operation Net Minority Interest,306437000.0,-193178000.0,103557000.0,-94322000.0,304983000.0,
Reconciled Depreciation,188012000.0,220768000.0,197523000.0,165771000.0,174173000.0,
Reconciled Cost Of Revenue,1891876000.0,2095457000.0,2053445000.0,1986502000.0,1911779000.0,
EBITDA,764957000.0,70391000.0,570316000.0,216249000.0,766725000.0,
EBIT,576945000.0,-150377000.0,372793000.0,50478000.0,592552000.0,
Net Interest Income,-158048000.0,-150139000.0,-132500000.0,-93928000.0,-159305000.0,
Interest Expense,101573000.0,108107000.0,176849000.0,112629000.0,114829000.0,
Interest Income,2073000.0,2703000.0,44349000.0,18701000.0,2064000.0,
Normalized Income,117632563.3,-225890815.462466,67956873.035153,-133492340.0,87904526.0,
Net Income From Continuing And Discontinued Operation,306437000.0,-193178000.0,103557000.0,-94322000.0,304983000.0,
Total Expenses,2020061000.0,2326402000.0,2040931000.0,2093817000.0,2060579000.0,
Rent Expense Supplemental,,,,,,17550000.0
Total Operating Income As Reported,317017000.0,-142771000.0,211023000.0,-88844000.0,465680000.0,
Diluted Average Shares,651073000.0,,651073000.0,651072697.0,651073000.0,
Basic Average Shares,651073000.0,,651073000.0,651072697.0,651073000.0,
Diluted EPS,0.47066,,0.15906,-0.144872,0.46843,
Basic EPS,0.47066,,0.15906,-0.144872,0.46843,
Diluted NI Availto Com Stockholders,306437000.0,-193178000.0,103557000.0,-94322000.0,304983000.0,
Net Income Common Stockholders,306437000.0,-193178000.0,103557000.0,-94322000.0,304983000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0,
Net Income,306437000.0,-193178000.0,103557000.0,-94322000.0,304983000.0,
Minority Interests,-35020000.0,-29662000.0,-28015000.0,-21504000.0,-29633000.0,
Net Income Including Noncontrolling Interests,341457000.0,-163516000.0,131571000.0,-72818000.0,334616000.0,
Net Income Continuous Operations,341457000.0,-163516000.0,131571000.0,-72818000.0,334616000.0,
Tax Provision,133915000.0,-94968000.0,64373000.0,10667000.0,143107000.0,
Pretax Income,475372000.0,-258484000.0,195944000.0,-62151000.0,477723000.0,
Special Income Charges,39950000.0,109371000.0,,,8650000.0,309780000.0
Other Special Charges,-15148000.0,-140040000.0,,,-12685000.0,-144789000.0
Write Off,-25493000.0,439000.0,,,4035000.0,-130734000.0
Restructuring And Mergern Acquisition,691000.0,,,,,
Net Non Operating Interest Income Expense,-158048000.0,-150139000.0,-132500000.0,-93928000.0,-159305000.0,
Total Other Finance Cost,58548000.0,44735000.0,,,46540000.0,82964000.0
Interest Expense Non Operating,101573000.0,108107000.0,176849000.0,112629000.0,114829000.0,
Interest Income Non Operating,2073000.0,2703000.0,44349000.0,18701000.0,2064000.0,
Operating Income,287526000.0,-132363000.0,211023000.0,-88844000.0,277252000.0,
Operating Expense,128185000.0,230945000.0,-12514000.0,107315000.0,148800000.0,
Other Operating Expenses,44221000.0,91405000.0,-138776000.0,-21366000.0,48897000.0,
Depreciation And Amortization In Income Statement,6556000.0,12671000.0,,,5329000.0,3336000.0
Depreciation Income Statement,6556000.0,12671000.0,,,5329000.0,3336000.0
Selling General And Administration,43523000.0,51462000.0,126262000.0,128681000.0,46055000.0,
Selling And Marketing Expense,6750000.0,3450000.0,12282000.0,10772000.0,4075000.0,
General And Administrative Expense,36773000.0,48012000.0,113980000.0,117909000.0,41980000.0,
Rent And Landing Fees,,,,,,1541000.0
Gross Profit,415711000.0,98582000.0,198509000.0,18471000.0,426052000.0,
Cost Of Revenue,1891876000.0,2095457000.0,2053445000.0,1986502000.0,1911779000.0,
Total Revenue,2307587000.0,2194039000.0,2251954000.0,2004973000.0,2337831000.0,
Operating Revenue,2307587000.0,2194039000.0,2251954000.0,2004973000.0,2337831000.0,
