,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,47243092000.0,35755470000.0,22344441000.0,46544600000.0,67798471000.0,
Repayment Of Debt,,,,-2392981000.0,,
Issuance Of Debt,,,,8000000000.0,,
Capital Expenditure,-2121844000.0,-1779236000.0,-1631202000.0,-1834204000.0,-2013862000.0,
End Cash Position,59635525000.0,65753371000.0,64935263000.0,71510833000.0,83167243000.0,
Beginning Cash Position,65753371000.0,64935263000.0,71510833000.0,83167243000.0,81013704000.0,
Effect Of Exchange Rate Changes,2220883000.0,-2111282000.0,-2757150000.0,-4902711000.0,8181591000.0,
Changes In Cash,-8338729000.0,2929390000.0,-3818420000.0,-6753699000.0,-6028052000.0,
Financing Cash Flow,-8364354000.0,2811119000.0,-1244432000.0,-44845000.0,-1159967000.0,
Net Other Financing Charges,-7367812000.0,4406760000.0,,,2924340000.0,-112204000.0
Interest Paid Cff,0.0,0.0,35338000.0,-255567000.0,0.0,
Cash Dividends Paid,-672217000.0,0.0,-2424383000.0,-3584289000.0,-3766084000.0,
Common Stock Dividend Paid,-672217000.0,0.0,-2424383000.0,-3584289000.0,-3766084000.0,
Net Issuance Payments Of Debt,,,,5607019000.0,,
Net Long Term Debt Issuance,,,,5607019000.0,,
Long Term Debt Payments,,,,-2392981000.0,,
Long Term Debt Issuance,,,,8000000000.0,,
Investing Cash Flow,-49339311000.0,-37416435000.0,-26549631000.0,-55087658000.0,-74680418000.0,
Dividends Received Cfi,1811439000.0,1789604000.0,1181345000.0,3586758000.0,1378579000.0,
Net Investment Purchase And Sale,-49032791000.0,-37417571000.0,-26100128000.0,-56847066000.0,-74040580000.0,
Sale Of Investment,42087971000.0,28466878000.0,109061571000.0,69421747000.0,84073286000.0,
Purchase Of Investment,-91120762000.0,-65884449000.0,-135161699000.0,-126268813000.0,-158113866000.0,
Net Business Purchase And Sale,0.0,-10000000.0,,,-6000000.0,-7500000.0
Sale Of Business,0.0,0.0,,,,0.0
Purchase Of Business,0.0,-10000000.0,,,-6000000.0,-7500000.0
Net Intangibles Purchase And Sale,-903930000.0,-559274000.0,-1002093000.0,-876417000.0,-1103138000.0,
Purchase Of Intangibles,-903930000.0,-559274000.0,-1002093000.0,-876417000.0,-1103138000.0,
Net PPE Purchase And Sale,-1214029000.0,-1219194000.0,-627213000.0,-950933000.0,-909279000.0,
Sale Of PPE,3885000.0,768000.0,1896000.0,6854000.0,1445000.0,
Purchase Of PPE,-1217914000.0,-1219962000.0,-629109000.0,-957787000.0,-910724000.0,
Operating Cash Flow,49364936000.0,37534706000.0,23975643000.0,48378804000.0,69812333000.0,
Taxes Refund Paid,-497454000.0,-534666000.0,-406497000.0,-5040874000.0,-1957926000.0,
Change In Working Capital,27440640000.0,14722579000.0,2053519000.0,29854997000.0,56495424000.0,
Change In Other Current Liabilities,-12506113000.0,-6328434000.0,107161292000.0,-36656041000.0,-8633199000.0,
Change In Other Current Assets,-2366475000.0,-818777000.0,-491343000.0,-9856600000.0,5607178000.0,
Other Non Cash Items,-33216000.0,-7106000.0,-3208157000.0,2641497000.0,-103253000.0,
Provisionand Write Offof Assets,21967599000.0,27622357000.0,17641252000.0,16360091000.0,9030515000.0,
Deferred Tax,-2974188000.0,-2077368000.0,-2220731000.0,-3896015000.0,-2000073000.0,
Depreciation And Amortization,1606252000.0,1508013000.0,1406452000.0,1457559000.0,1085042000.0,
Amortization Cash Flow,709009000.0,693102000.0,670294000.0,637163000.0,617055000.0,
Depreciation,897243000.0,814911000.0,736158000.0,820396000.0,467987000.0,
Pension And Employee Benefit Expense,-629112000.0,-6464218000.0,4895479000.0,-1012174000.0,11046554000.0,
Gain Loss On Investment Securities,-115830000.0,-84211000.0,-205609000.0,-122934000.0,-151839000.0,
Net Foreign Currency Exchange Gain Loss,-925439000.0,1901271000.0,2534681000.0,5587032000.0,-6882128000.0,
Gain Loss On Sale Of PPE,-180032000.0,-91600000.0,-83857000.0,-66654000.0,-84761000.0,
Net Income From Continuing Operations,6015079000.0,3006743000.0,3582262000.0,4177854000.0,5140254000.0,
