,2026-03-31,2025-12-31,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,83467000.0,763931000.0,281466000.0,-649319000.0,-172771000.0,
Repayment Of Debt,0.0,0.0,0.0,-1628096000.0,-339000.0,
Issuance Of Debt,0.0,0.0,0.0,2946250000.0,0.0,
Capital Expenditure,-286172000.0,-352768000.0,-333842000.0,-218639000.0,-294244000.0,
End Cash Position,4712094000.0,5141617000.0,5952963000.0,5780479000.0,5200342000.0,
Beginning Cash Position,5141617000.0,5081832000.0,5780479000.0,5200342000.0,5159725000.0,
Effect Of Exchange Rate Changes,-292727000.0,32678000.0,-88133000.0,-80548000.0,158126000.0,
Changes In Cash,-136796000.0,27107000.0,260617000.0,660685000.0,-117509000.0,
Financing Cash Flow,-48301000.0,-46585000.0,-25900000.0,1303425000.0,-54053000.0,
Net Other Financing Charges,-7738000.0,-6346000.0,-6346000.0,-6346000.0,-6346000.0,
Cash Dividends Paid,-32851000.0,-31672000.0,-11059000.0,-11000.0,-36706000.0,
Net Issuance Payments Of Debt,0.0,0.0,0.0,1318154000.0,-339000.0,
Net Long Term Debt Issuance,0.0,0.0,0.0,1318154000.0,-339000.0,
Long Term Debt Payments,0.0,0.0,0.0,-1628096000.0,-339000.0,
Long Term Debt Issuance,0.0,0.0,0.0,2946250000.0,0.0,
Investing Cash Flow,-458134000.0,-1043007000.0,-328791000.0,-212060000.0,-184929000.0,
Dividends Received Cfi,5021000.0,153480000.0,4691000.0,6393000.0,112210000.0,
Net Investment Purchase And Sale,-176983000.0,-847813000.0,-15098000.0,-22261000.0,-14831000.0,
Net Business Purchase And Sale,0.0,1000.0,0.0,0.0,,
Purchase Of Business,0.0,1000.0,0.0,0.0,,
Net Intangibles Purchase And Sale,-20693000.0,-31803000.0,-48284000.0,-21237000.0,-27834000.0,
Purchase Of Intangibles,-20693000.0,-31803000.0,-48284000.0,-21237000.0,-27834000.0,
Net PPE Purchase And Sale,-265479000.0,-316872000.0,-270100000.0,-174955000.0,-254370000.0,
Sale Of PPE,,4093000.0,15458000.0,22447000.0,12040000.0,1433000.0
Purchase Of PPE,-265479000.0,-320965000.0,-285558000.0,-197402000.0,-266410000.0,
Operating Cash Flow,369639000.0,1116699000.0,615308000.0,-430680000.0,121473000.0,
Taxes Refund Paid,-27988000.0,-13776000.0,-46208000.0,-31999000.0,-2465000.0,
Interest Paid Cfo,-236202000.0,-151034000.0,-142778000.0,-264062000.0,-135602000.0,
Change In Working Capital,-624067000.0,704908000.0,321429000.0,-943112000.0,-242017000.0,
Change In Other Current Liabilities,,,-56540000.0,-143940000.0,-106867000.0,-102194000.0
Change In Other Current Assets,432096000.0,-188670000.0,137201000.0,-145109000.0,-51178000.0,
Change In Accrued Expense,-368389000.0,,,,,
Change In Payable,-104667000.0,170622000.0,-54821000.0,-271984000.0,277164000.0,
Change In Prepaid Assets,-23649000.0,,-14000.0,34000.0,483000.0,489000.0
Change In Inventory,-52383000.0,179165000.0,129857000.0,105716000.0,-174504000.0,
Change In Receivables,-507075000.0,593495000.0,165746000.0,-487829000.0,-187115000.0,
Other Non Cash Items,197872000.0,204208000.0,227201000.0,224725000.0,190742000.0,
Provisionand Write Offof Assets,31340000.0,20019000.0,108908000.0,63427000.0,32513000.0,
Deferred Tax,-412288000.0,-3561000.0,-50068000.0,121720000.0,63440000.0,
Depreciation And Amortization,280879000.0,324887000.0,316216000.0,311005000.0,314362000.0,
Depreciation,280879000.0,324887000.0,316216000.0,311005000.0,314362000.0,
Pension And Employee Benefit Expense,14859000.0,16790000.0,,16823000.0,17649000.0,17650000.0
Net Foreign Currency Exchange Gain Loss,336388000.0,17364000.0,-131657000.0,-144658000.0,173594000.0,
Gain Loss On Sale Of PPE,1335000.0,3924000.0,-13687000.0,-22441000.0,-109000.0,
Net Income From Continuing Operations,896150000.0,128682000.0,127623000.0,336999000.0,-117179000.0,
