,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Free Cash Flow,68429000.0,182039000.0,-5423000.0,74045000.0,-44037000.0,,
Repurchase Of Capital Stock,-14529000.0,-7693000.0,0.0,-11274000.0,,0.0,
Repayment Of Debt,-185692000.0,-196733000.0,-133874000.0,-163716000.0,-328572000.0,,
Issuance Of Debt,322563000.0,764474000.0,223512000.0,486092000.0,-70861000.0,,
Issuance Of Capital Stock,,,0.0,1000.0,0.0,0.0,-1000.0
Capital Expenditure,-61214000.0,,-26343000.0,-23087000.0,-45229000.0,,-24079000.0
End Cash Position,1199343000.0,1575523000.0,1251709000.0,837999000.0,792054000.0,,
Beginning Cash Position,1575523000.0,1251709000.0,837999000.0,792054000.0,858169000.0,,
Changes In Cash,-376180000.0,323814000.0,413710000.0,45945000.0,-66115000.0,,
Financing Cash Flow,-333032000.0,114247000.0,455922000.0,-135793000.0,7233000.0,,
Net Other Financing Charges,481930000.0,-8805000.0,439640000.0,-95115000.0,461648000.0,,
Interest Paid Cff,-50873000.0,-60149000.0,-43195000.0,-30695000.0,-45149000.0,,
Cash Dividends Paid,-804708000.0,-346664000.0,0.0,-299399000.0,-9000.0,,
Net Common Stock Issuance,-14529000.0,-7694000.0,0.0,-11273000.0,0.0,,
Common Stock Payments,-14529000.0,-7693000.0,0.0,-11274000.0,,0.0,
Common Stock Issuance,,,0.0,1000.0,0.0,0.0,-1000.0
Net Issuance Payments Of Debt,136871000.0,567741000.0,89638000.0,322376000.0,-399433000.0,,
Net Long Term Debt Issuance,136871000.0,567741000.0,89638000.0,322376000.0,-399433000.0,,
Long Term Debt Payments,-185692000.0,-196733000.0,-133874000.0,-163716000.0,-328572000.0,,
Long Term Debt Issuance,322563000.0,764474000.0,223512000.0,486092000.0,-70861000.0,,
Investing Cash Flow,-172791000.0,58839000.0,-63132000.0,84606000.0,-74540000.0,,
Dividends Received Cfi,40128000.0,-4839000.0,29887000.0,14905000.0,37132000.0,,
Net Investment Purchase And Sale,-319273000.0,-26114000.0,-128000000.0,76764000.0,126759000.0,,
Sale Of Investment,,,,90605000.0,,,
Purchase Of Investment,-319273000.0,,,-13841000.0,-41783000.0,,
Net Business Purchase And Sale,142022000.0,130786000.0,,,-169350000.0,84595000.0,
Sale Of Business,142022000.0,125259000.0,,,,0.0,
Net Intangibles Purchase And Sale,3015000.0,-5174000.0,-5881000.0,-7064000.0,8744000.0,,
Purchase Of Intangibles,3015000.0,-5174000.0,-5881000.0,-7064000.0,8744000.0,,
Net PPE Purchase And Sale,,,-20462000.0,-16023000.0,,,-8121000.0
Operating Cash Flow,129643000.0,150728000.0,20920000.0,97132000.0,1192000.0,,
Taxes Refund Paid,-21098000.0,-13526000.0,-22956000.0,-15043000.0,-14822000.0,,
Change In Working Capital,-243367000.0,-232498000.0,-330437000.0,-180969000.0,-111950000.0,,
Change In Other Current Liabilities,-26455000.0,15338000.0,-18223000.0,5827000.0,-6731000.0,,
Change In Other Current Assets,-54488000.0,74365000.0,26326000.0,31766000.0,60486000.0,,
Change In Payable,-79835000.0,-67658000.0,-67696000.0,-9564000.0,-127507000.0,,
Change In Inventory,151813000.0,7680000.0,70492000.0,65427000.0,224826000.0,,
Change In Receivables,-206008000.0,-268166000.0,-335574000.0,-280953000.0,-242054000.0,,
Other Non Cash Items,41967000.0,107971000.0,109478000.0,51959000.0,57592000.0,,
Stock Based Compensation,6877000.0,4362000.0,3192000.0,3952000.0,2424000.0,,
Provisionand Write Offof Assets,41808000.0,47003000.0,28535000.0,32080000.0,27123000.0,,
Deferred Tax,4473000.0,7015000.0,6986000.0,5846000.0,13070000.0,,
Depreciation And Amortization,22691000.0,20304000.0,19728000.0,18020000.0,19031000.0,,
Depreciation,22691000.0,20304000.0,19728000.0,18020000.0,19031000.0,,
Gain Loss On Investment Securities,-87955000.0,-26653000.0,-9499000.0,-39097000.0,-219382000.0,,
Gain Loss On Sale Of Business,,-36041000.0,,,,11086000.0,
Net Income From Continuing Operations,312379000.0,310374000.0,243181000.0,212561000.0,221614000.0,,
