,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,155911000.0,191402000.0,207268000.0,87123000.0,-3782000.0,
Repayment Of Debt,-94852000.0,-159756000.0,-291232000.0,-205980000.0,-17775000.0,
Issuance Of Debt,81859000.0,489192000.0,126078000.0,132398000.0,439446000.0,
Capital Expenditure,-15402000.0,-4875000.0,-10670000.0,-4918000.0,-1312000.0,
End Cash Position,42563000.0,66575000.0,72150000.0,47650000.0,59163000.0,
Beginning Cash Position,66575000.0,72150000.0,47650000.0,59163000.0,69477000.0,
Changes In Cash,-24012000.0,-5575000.0,24500000.0,-11513000.0,-10314000.0,
Financing Cash Flow,-41021000.0,143951000.0,-237253000.0,-88213000.0,394430000.0,
Net Other Financing Charges,-6639000.0,34516000.0,-5644000.0,7717000.0,2838000.0,
Interest Paid Cff,-21389000.0,,,,0.0,
Cash Dividends Paid,,-220001000.0,-66455000.0,-22348000.0,-30079000.0,-181491000.0
Common Stock Dividend Paid,0.0,-220001000.0,-66455000.0,-22348000.0,-30079000.0,
Net Issuance Payments Of Debt,-12993000.0,329436000.0,-165154000.0,-73582000.0,421671000.0,
Net Long Term Debt Issuance,-12993000.0,329436000.0,-165154000.0,-73582000.0,421671000.0,
Long Term Debt Payments,-94852000.0,-159756000.0,-291232000.0,-205980000.0,-17775000.0,
Long Term Debt Issuance,81859000.0,489192000.0,126078000.0,132398000.0,439446000.0,
Investing Cash Flow,-154304000.0,-345803000.0,43815000.0,-15341000.0,-402274000.0,
Net Other Investing Changes,-896000.0,,,,15070000.0,
Net Investment Purchase And Sale,-134085000.0,-267070000.0,41347000.0,-21819000.0,-389566000.0,
Sale Of Investment,403828000.0,1000179000.0,520490000.0,756655000.0,532114000.0,
Purchase Of Investment,-537913000.0,-1267249000.0,-479143000.0,-778474000.0,-921680000.0,
Net Business Purchase And Sale,-3921000.0,-73857000.0,13138000.0,26466000.0,-26466000.0,
Sale Of Business,5963000.0,3431000.0,13138000.0,0.0,0.0,
Purchase Of Business,-9884000.0,,,,-26466000.0,
Net PPE Purchase And Sale,-15402000.0,-4875000.0,-10670000.0,-4918000.0,-1312000.0,
Purchase Of PPE,-15402000.0,-4875000.0,-10670000.0,-4918000.0,-1312000.0,
Operating Cash Flow,171313000.0,196277000.0,217938000.0,92041000.0,-2470000.0,
Taxes Refund Paid,-12838000.0,-11578000.0,-12792000.0,-6235000.0,-7013000.0,
Interest Paid Cfo,-12904000.0,-72883000.0,-17381000.0,-18671000.0,-17752000.0,
Dividend Received Cfo,2960000.0,9922000.0,10900000.0,19372000.0,26035000.0,
Change In Working Capital,117384000.0,184255000.0,49661000.0,-14340000.0,-69993000.0,
Change In Other Current Liabilities,-3117000.0,-15281000.0,27432000.0,893000.0,9023000.0,
Change In Other Current Assets,1086000.0,9602000.0,-26960000.0,21835000.0,15174000.0,
Change In Payable,6326000.0,-5997000.0,9598000.0,-5794000.0,-2077000.0,
Change In Inventory,-7494000.0,26914000.0,-8838000.0,42687000.0,-33877000.0,
Change In Receivables,120583000.0,169017000.0,48429000.0,-73961000.0,-58236000.0,
Other Non Cash Items,-29973000.0,-37409000.0,-13781000.0,-29473000.0,-30530000.0,
Provisionand Write Offof Assets,,-1266000.0,2656000.0,5225000.0,0.0,-62000.0
Deferred Tax,8276000.0,17676000.0,17145000.0,10938000.0,8232000.0,
Depreciation And Amortization,6516000.0,8889000.0,4181000.0,5065000.0,2755000.0,
Depreciation,6516000.0,41000.0,4181000.0,5065000.0,2755000.0,
Net Income From Continuing Operations,126194000.0,120102000.0,186014000.0,144558000.0,96921000.0,
